Historical Returns - Mutual fund screener| Mutual Fund Screening and Analysis Tool - Moneycontrol.com,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,4,993.4,0.0018,0.0086,0.0308,0.09449999999999999,0.09880000000000001,0.1782,0.1324,0.12269999999999999,0.1035,0.092
Baroda BNP Paribas Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,5,189.68,0.001,0.0053,0.0245,0.0508,0.054000000000000006,0.09949999999999999,0.091,0.08789999999999999,0.1092,0.08789999999999999
DSP Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,4,208.95,0.0008,0.0048,0.028399999999999998,0.1891,0.191,0.23929999999999998,0.2003,0.1562,0.12380000000000001,0.0889
HDFC Balanced Advantage Fund - Direct Plan - Growth,Direct Plan,Dynamic Asset Allocation or Balanced Advantage,4,100299.29,0.0001,0.0044,0.0969,0.0706,0.0512,0.0479,0.22010000000000002,0.2286,0.2534,0.1535
HSBC Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,4,175.32,0,0.0006,0.0113,0.049100000000000005,0.050300000000000004,0.09300000000000001,0.0883,0.0801,0.0582,0.0783
Canara Robeco Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,4,124.31,-0.0003,0.0009,0.0026,0.0408,0.0414,0.0768,0.07980000000000001,0.0771,0.0552,0.0729
PGIM India Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,4,120.38,-0.0006,0.0009,0.01,0.048499999999999995,0.0495,0.09449999999999999,0.0931,0.08470000000000001,0.065,0.0828
HDFC Dynamic Debt Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,4,838.08,-0.0011,-0.0001,0.0091,0.04190000000000001,0.044000000000000004,0.0857,0.0859,0.0833,0.07139999999999999,0.0727
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,5,213.2,-0.0011,0,0.0085,0.0451,0.046,0.08779999999999999,0.0857,0.0874,0.0625,0.0762
Bandhan Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,5,2861.98,-0.0018,-0.0019,-0.004,0.0304,0.0305,0.0667,0.08449999999999999,0.07980000000000001,0.056600000000000004,0.0805
Baroda BNP Paribas ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,4,933.84,0.0025,0.0106,0.14150000000000001,0.0437,0.011899999999999999,0.049,0.23920000000000002,0.22469999999999998,0.2158,0.1333
DSP ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,4,17427.57,0.0013,0.0066,0.1293,0.0824,0.051399999999999994,0.058899999999999994,0.26030000000000003,0.2414,0.2618,0.16949999999999998
HDFC ELSS Tax saver - Direct Plan - Growth,Direct Plan,ELSS,5,16908,0.0003,0.0113,0.12890000000000001,0.0924,0.0761,0.0713,0.2631,0.2594,0.273,0.1442
LIC MF ELSS Tax Saver - Direct Plan - Growth,Direct Plan,ELSS,4,1143.39,-0.0002,0.0017000000000000001,0.1175,0.022000000000000002,0.0159,0.0374,0.2006,0.2011,0.21789999999999998,0.131
Franklin India ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,4,6883.11,-0.0003,0.0040999999999999995,0.13849999999999998,0.058499999999999996,0.0263,0.0455,0.247,0.23809999999999998,0.2664,0.1436
Quantum ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,4,225.38,-0.0012,0.0023,0.11720000000000001,0.052300000000000006,0.0318,0.045700000000000005,0.2232,0.21489999999999998,0.23670000000000002,0.1326
Parag Parikh ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,5,5294.26,-0.0044,0.0019,0.1232,0.0833,0.0623,0.102,0.2311,0.2274,0.2618,-
Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,5,103867.95,0.0031,0.008100000000000001,0.10949999999999999,0.07490000000000001,0.057800000000000004,0.1018,0.2466,0.23879999999999998,0.2571,0.1861
HDFC Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,5,79584.54,0.0009,0.0095,0.1185,0.09390000000000001,0.0731,0.0913,0.2634,0.2692,0.3009,0.1637
Mahindra Manulife Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,4,1559.61,0.0009,0.0151,0.1452,0.0866,0.06509999999999999,0.042,0.2107,0.221,-,-
Franklin India Flexi Cap Fund - Direct - Growth,Direct Plan,Flexi Cap Fund,4,19364.97,-0.0015,0.0028000000000000004,0.1373,0.0645,0.0322,0.049400000000000006,0.2451,0.2353,0.26899999999999996,0.1502
Edelweiss Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,4,2801.6,-0.0055000000000000005,0.0131,0.15380000000000002,0.056100000000000004,0.0195,0.0318,0.2425,0.2373,0.2568,0.1576
JM Flexi Cap Fund - Direct - Growth,Direct Plan,Flexi Cap Fund,4,6143.77,-0.0062,0.0048,0.1306,-0.0026,-0.0462,-0.0519,0.2713,0.2773,0.2742,0.17059999999999997
Motilal Oswal Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,5,13893.76,-0.011699999999999999,0.031200000000000002,0.18109999999999998,0.0363,-0.0116,0.1193,0.3418,0.2791,0.22,0.1438
Aditya Birla Sun Life Floating Rate Fund - Direct Plan - Growth,Direct Plan,Floater Fund,5,13658.21,0.0011,0.0054,0.0223,0.046900000000000004,0.0487,0.0874,0.08310000000000001,0.07919999999999999,0.0653,0.0761
Bandhan Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,4,1946.7,0.009300000000000001,0.0134,0.17329999999999998,0.0322,-0.0018,0.1168,0.24350000000000002,0.23260000000000003,0.21789999999999998,0.1401
