Historical Returns - Mutual fund screener| Mutual Fund Screening and Analysis Tool - Moneycontrol.com,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Nippon India Growth Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,4,36836.07,-0.0091,-0.0067,0.1782,0.0751,0.0259,0.0574,0.3056,0.3015,0.3331,0.1857
Edelweiss Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,10988.16,-0.0132,0.0028000000000000004,0.19649999999999998,0.06709999999999999,0.0187,0.09300000000000001,0.3442,0.3123,0.3444,0.1935
Motilal Oswal Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,30401.09,-0.019,0.0134,0.1891,-0.021099999999999997,-0.08109999999999999,0.07490000000000001,0.3496,0.3398,0.3714,0.1902
Sundaram Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,4,1355.66,0.0011,0.005600000000000001,0.020499999999999997,0.044000000000000004,0.045899999999999996,0.0819,0.07769999999999999,0.0737,0.058499999999999996,-
Mirae Asset Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,5,2658.65,0.0011,0.0054,0.0208,0.0444,0.0463,0.08380000000000001,0.0799,0.0745,-,-
DSP Savings Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,4,4517.13,0.0011,0.0054,0.0197,0.041299999999999996,0.0429,0.0786,0.0766,0.0739,0.0584,0.0655
Bajaj Finserv Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,5,3815.91,0.0011,0.0054,0.0208,0.0444,0.0463,0.0833,-,-,-,-
HSBC Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,4,3247.48,0.001,0.0053,0.0203,0.0435,0.0453,0.0818,0.0782,0.07440000000000001,0.0584,0.0717
PGIM India Money Market Fund - Direct Plan - Growth,Direct Plan,Money Market Fund,4,182.98,0.0009,0.0052,0.02,0.043,0.0446,0.0805,0.0771,0.0746,0.0602,-
ICICI Prudential Multi-Asset Fund - Direct Plan - Growth,Direct Plan,Multi Asset Allocation,4,62013.62,0.001,0.0054,0.08529999999999999,0.0967,0.10460000000000001,0.1076,0.2217,0.2232,0.2515,0.1625
SBI Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,4,21724.53,0.0039000000000000003,0.0177,0.1253,0.0839,0.0541,0.1005,0.2407,0.22,-,-
ICICI Prudential Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,4,15532.54,0.0001,0.005600000000000001,0.1369,0.076,0.0576,0.050300000000000004,0.2509,0.25,0.2716,0.1574
Kotak Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,4,18904.21,-0.002,0.0068000000000000005,0.1528,0.0466,0.010700000000000001,0.0296,0.2778,0.2917,-,-
Kotak Infrastructure and Economic Reform Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,2449.76,0.0060999999999999995,0.0138,0.2191,0.052000000000000005,-0.004699999999999999,-0.0562,0.2597,0.2956,0.3369,0.17300000000000001
Canara Robeco Infrastructure - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,931.52,0.005600000000000001,0.0105,0.2,0.1009,0.0418,-0.011000000000000001,0.33380000000000004,0.3237,0.3431,0.1675
Bank of India Manufacturing & Infrastructure Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,573.17,0.0031,0.026000000000000002,0.2296,0.0975,0.0545,0.013500000000000002,0.31129999999999997,0.3141,0.3323,0.18030000000000002
SBI Infrastructure Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,5195.23,0.0007000000000000001,0.0149,0.1442,0.0747,0.0302,-0.0355,0.2763,0.2953,0.30269999999999997,0.16570000000000001
Aditya Birla Sun Life India GenNext Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,6277.19,-0.0002,0.0077,0.1128,0.052199999999999996,0.0331,0.041100000000000005,0.1884,0.19329999999999997,0.22690000000000002,0.15990000000000001
LIC MF Infrastructure Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,1053.32,-0.0004,0.0029,0.2584,0.0481,-0.0036,-0.0176,0.38270000000000004,0.34049999999999997,0.3427,0.1635
DSP Natural Resources and New Energy Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,1315.7,-0.0059,0.0026,0.1653,0.081,0.0594,-0.0302,0.2299,0.2551,0.2846,0.182
Sundaram Consumption Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,1595.84,-0.0076,0.0027,0.10060000000000001,0.0195,0.0006,0.0616,0.2003,0.20629999999999998,0.2143,0.1508
HSBC Business Cycles Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,1153.14,-0.0101,0.0037,0.2039,0.0924,0.028300000000000002,0.0608,0.2812,0.2842,0.28850000000000003,0.1445
Canara Robeco Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,5,455.42,0.0009,0.0034000000000000002,0.0218,0.0487,0.0504,0.08900000000000001,0.08039999999999999,0.0745,0.0587,0.0733
TRUSTMF Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,4,129.72,0.0009,0.0037,0.0245,0.0536,0.0554,0.095,0.08259999999999999,0.077,-,-
Mirae Asset Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,4,1149.62,0.0009,0.0034999999999999996,0.0235,0.054299999999999994,0.0564,0.0983,0.087,0.0805,0.0637,-
Sundaram Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,4,217.05,0.0009,0.0042,0.0231,0.0518,0.0535,0.09720000000000001,0.086,0.0809,0.06309999999999999,0.0665
Kotak Bond Short Term Plan - Direct Plan - Growth,Direct Plan,Short Duration Fund,4,17540.57,0.0009,0.0033,0.0235,0.0533,0.0554,0.0977,0.08800000000000001,0.0818,0.0652,0.079
LIC MF Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,5,160.19,0.0008,0.0043,0.025,0.0541,0.0559,0.0984,0.08689999999999999,0.0796,0.060599999999999994,-
Tata Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,11163.84,0.0073,0.0217,0.196,0.0342,-0.016200000000000003,0.038,0.2438,0.2838,0.3591,-
Edelweiss Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,4929.76,0.0034999999999999996,0.024900000000000002,0.21350000000000002,0.048,0.0073,0.057,0.2634,0.2785,0.3579,-
Nippon India Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,66601.8,0.0018,0.0158,0.2021,0.0447,-0.0023,-0.0012,0.2642,0.29969999999999997,0.3848,0.2274
ITI Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,5,2640.78,-0.0012,0.0024,0.207,0.0581,-0.0005,0.0416,0.3392,0.3396,0.30519999999999997,-
Mirae Asset Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,1780.38,0.0013,0.005699999999999999,0.019799999999999998,0.0418,0.0436,0.081,0.0788,0.0747,-,-
HSBC Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,5,2735.55,0.0011,0.0052,0.019,0.0409,0.042699999999999995,0.0789,0.0767,0.0736,0.0594,-
DSP Ultra Short Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,4010.78,0.0011,0.0053,0.019299999999999998,0.0429,0.0446,0.0812,0.0788,0.0747,0.059800000000000006,0.0662
Canara Robeco Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,570.34,0.0011,0.0055000000000000005,0.019,0.0404,0.0421,0.0775,0.0741,0.0706,0.0556,0.0636
WhiteOak Capital Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,475.05,0.0011,0.0054,0.0187,0.0394,0.0412,0.07629999999999999,0.0745,0.0711,0.0596,-
PGIM India Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,197.98,0.001,0.0054,0.018600000000000002,0.0398,0.0415,0.0775,0.0756,0.0726,0.0593,0.0753
Bank of India Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,160.55,0.001,0.0054,0.018600000000000002,0.039599999999999996,0.0414,0.0761,0.0719,0.0692,0.0555,0.0682
Motilal Oswal Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,5,572.44,0.001,0.0044,0.016200000000000003,0.0327,0.0345,0.0659,0.0665,0.0634,0.0508,0.0418
ICICI Prudential Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,4,54096.42,0.0026,0.011200000000000002,0.1328,0.0935,0.0852,0.08650000000000001,0.2562,0.2569,0.2862,0.162
Nippon India Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,4,8954.8,0.0026,0.01,0.1537,0.065,0.0317,0.0435,0.2796,0.26890000000000003,0.29100000000000004,0.1636
DSP Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,5,1041.67,-0.0019,0.0066,0.13369999999999999,0.0676,0.0466,0.08310000000000001,0.2263,0.22089999999999999,-,-
